secret_path,secret_type,target_service,rotation_frequency_days,last_rotated_timestamp,next_rotation_due,rotation_mechanism,rotation_lead,audit_status,vault_cluster_id
"kv/prod/service-115/credentials","Database Master Password","microservice-runtime-v6",30,"2026-05-15T10:00:00Z","2026-06-08T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Novak","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-116/credentials","API Bearer Token","microservice-runtime-v7",90,"2026-05-07T10:00:00Z","2026-06-27T10:00:00Z","Manual YubiKey Escrow Procedure","Aisha Patel","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-117/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-27T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Noah Novak","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-118/credentials","API Bearer Token","microservice-runtime-v9",90,"2026-05-17T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Aris Joshi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-119/credentials","SSH CA Signing Key","microservice-runtime-v10",90,"2026-05-28T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Mara Kovacs","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-120/credentials","TLS Private Key","microservice-runtime-v1",90,"2026-05-18T10:00:00Z","2026-06-12T10:00:00Z","Manual YubiKey Escrow Procedure","Liam Johnson","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-121/credentials","AWS IAM Credentials","microservice-runtime-v2",30,"2026-05-14T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Sophia Lindqvist","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-122/credentials","SSH CA Signing Key","microservice-runtime-v3",90,"2026-05-27T10:00:00Z","2026-06-16T10:00:00Z","Automated HashiCorp Vault Plugin","Carlos Watanabe","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-123/credentials","AWS IAM Credentials","microservice-runtime-v4",30,"2026-05-04T10:00:00Z","2026-06-09T10:00:00Z","Automated HashiCorp Vault Plugin","Kaito Tanaka","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-124/credentials","API Bearer Token","microservice-runtime-v5",90,"2026-05-04T10:00:00Z","2026-06-23T10:00:00Z","Manual YubiKey Escrow Procedure","Chen Johnson","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-125/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-18T10:00:00Z","2026-06-26T10:00:00Z","Automated HashiCorp Vault Plugin","Sarah Patel","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-126/credentials","TLS Private Key","microservice-runtime-v7",90,"2026-05-20T10:00:00Z","2026-06-17T10:00:00Z","Automated HashiCorp Vault Plugin","Mina Mueller","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-127/credentials","SSH CA Signing Key","microservice-runtime-v8",90,"2026-05-22T10:00:00Z","2026-06-19T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-128/credentials","SSH CA Signing Key","microservice-runtime-v9",90,"2026-05-07T10:00:00Z","2026-06-14T10:00:00Z","Manual YubiKey Escrow Procedure","Soren Silva","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-129/credentials","TLS Private Key","microservice-runtime-v10",90,"2026-05-06T10:00:00Z","2026-06-04T10:00:00Z","Automated HashiCorp Vault Plugin","Zoe Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-130/credentials","AWS IAM Credentials","microservice-runtime-v1",30,"2026-05-24T10:00:00Z","2026-06-05T10:00:00Z","Automated HashiCorp Vault Plugin","Hannah Vance","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-131/credentials","AWS IAM Credentials","microservice-runtime-v2",30,"2026-05-19T10:00:00Z","2026-06-24T10:00:00Z","Automated HashiCorp Vault Plugin","Marcus Johnson","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-132/credentials","SSH CA Signing Key","microservice-runtime-v3",90,"2026-05-23T10:00:00Z","2026-06-05T10:00:00Z","Manual YubiKey Escrow Procedure","Beatriz Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-133/credentials","TLS Private Key","microservice-runtime-v4",90,"2026-05-13T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Fatima Nguyen","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-134/credentials","SSH CA Signing Key","microservice-runtime-v5",90,"2026-05-19T10:00:00Z","2026-06-26T10:00:00Z","Automated HashiCorp Vault Plugin","Ananya Mueller","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-135/credentials","API Bearer Token","microservice-runtime-v6",90,"2026-05-14T10:00:00Z","2026-06-23T10:00:00Z","Automated HashiCorp Vault Plugin","Siddharth Ivanov","ROTATION_SCHEDULED_DUE_SOON","VAULT-PROD-03"
"kv/prod/service-136/credentials","Database Master Password","microservice-runtime-v7",30,"2026-05-14T10:00:00Z","2026-06-25T10:00:00Z","Manual YubiKey Escrow Procedure","Dmitri Garcia","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-137/credentials","API Bearer Token","microservice-runtime-v8",90,"2026-05-22T10:00:00Z","2026-06-14T10:00:00Z","Automated HashiCorp Vault Plugin","Lars Joshi","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-138/credentials","Database Master Password","microservice-runtime-v9",30,"2026-05-01T10:00:00Z","2026-06-03T10:00:00Z","Automated HashiCorp Vault Plugin","Aisha Johnson","COMPLIANT_ROTATED","VAULT-PROD-03"
"kv/prod/service-139/credentials","Database Master Password","microservice-runtime-v10",30,"2026-05-11T10:00:00Z","2026-06-22T10:00:00Z","Automated HashiCorp Vault Plugin","Sophia Hoffmann","COMPLIANT_ROTATED","VAULT-PROD-03"
